"id","wezwanie","id_wezwanie"
1,"10Tys MM",1
2,"10Tys MM, Katarzyna, Dorota PPMM",2
3,"10Tys Rycerzy MM",3
4,"10TysRycerzy MM",4
5,"10TysRycerzy MM, Jakub W Ap, Anna",5
6,"11Tys PPMM",6
7,Agata PM,7
8,Agnieszka ,8
9,Aleksander,9
10,Aleksy W,10
1101,"Aleksy W, Benedykt O, Jadwiga Wd",1101
11,"Aleksy W, Jadwiga Wd",11
1117,Alfons Rodriguez,1117
12,Alojzy,12
13,Andrzej Ap,13
14,"Andrzej Ap, Anna",14
15,"Andrzej Ap, Dorota PM",15
16,"Andrzej Ap, Jan Ch",16
17,"Andrzej Ap, Katarzyna PM",17
18,"Andrzej Ap, Leonard O",18
19,"Andrzej Ap, Małgorzata PM",19
20,"Andrzej Ap, Maria Magdalena",20
21,"Andrzej Ap, Roch W",21
22,"Andrzej Ap, Świerad, Benedykt O",22
23,"Andrzej Ap, Wawrzyniec M",23
24,"Andrzej Ap, Witalis M",24
1032,Andrzej Avellino,1032
25,"Andrzej, Bartłomiej AAp",25
1051,Andrzej Bobola,1051
26,"Andrzej, Jakub W AAp",26
27,"Andrzej, Mateusz AAp",27
28,"Andrzej, Szymon i Juda Tadeusz AAp",28
1104,Andrzej Świerad i Benedykt Pustelnicy,1104
1105,Andrzej Świerad Pustelnik,1105
29,Anioł Stróż,29
30,Aniołowie Stróże,30
31,Anna,31
32,"Anna, Augustyn Bp",32
33,"Anna, Hieronim DrKła",33
34,"Anna, Jakub W Ap",34
35,"Anna, Jan Ch",35
36,"Anna, Jan Ch, Stanisław Bp",36
37,"Anna, Kajetan W",37
38,"Anna, Małgorzata PM",38
39,"Anna, Maria Magdalena, Jakub W Ap",39
40,"Anna, Michał A",40
41,"Anna, Mikołaj Bp",41
42,"Anna, NarNMP",42
43,"Anna, Stanisław Bp",43
44,"Anna, Stefan M",44
45,"Anna, Św. Krzyż, Św. Trójca",45
46,"Anna, Wawrzyniec M",46
47,"Anna, Wszyscy Św",47
48,Antoni,48
49,Antoni O,49
50,Antoni Pad,50
51,"Antoni Pad, Barbara PM",51
1061,"Antoni Pad, Mikołaj Bp",1061
52,"Antoni Pad, Wojciech Bp, Anna",52
1071,Apolonia PM,1071
53,Augustyn Bp,53
54,"Augustyn, Mikołaj BBp",54
62,"Barbara, Małgorzata, Dorota PPMM",62
55,Barbara PM,55
56,"Barbara PM, Leonard O",56
57,"Barbara PM, Maria Magdalena",57
1155,"Barbara PM, Maurycy M",1155
58,"Barbara PM, Mikołaj Bp, Jan Ew",58
1076,"Barbara PM, Stanisław Bp",1076
59,"Barbara PM, Wojciech Bp",59
60,"Barbara PM, Wszyscy Św",60
61,"Barbara PM, Zofia M",61
63,Barnaba Ap,63
72,"Bartłomiej, Andrzej AAp",72
64,Bartłomiej Ap,64
65,"Bartłomiej Ap, Jadwiga Wd",65
66,"Bartłomiej Ap, Jan Ch",66
67,"Bartłomiej Ap, Katarzyna PM",67
68,"Bartłomiej Ap, Mikołaj Bp",68
69,"Bartłomiej Ap, NMP, Mikołaj Bp, Dorota, Katarzyna PPMM, Paweł Ap, Wawrzyniec M, Michał A",69
70,"Bartłomiej Ap, Paweł Ap, Stanisław, Mikołaj BBp",70
71,"Bartłomiej Ap, Stanisław Bp",71
1052,Bazyli Bp,1052
73,Benedykt M,73
74,Benedykt O,74
75,Benon Bp,75
76,"Benon, Roch W",76
77,Bernard O,77
78,Bernardyn z Sieny,78
79,Błażej Bp,79
80,Bogumił Bp,80
81,Boże Ciało,81
82,"Boże Ciało, Bartłomiej Ap, Leonard O",82
83,"Boże Ciało, Jakub W Ap, Witalis M, Wszyscy Św",83
1046,"Boże Ciało, Jan Ch",1046
84,"Boże Ciało, Jan Ch, Stanisław Bp, Anna, Barbara PM",84
85,"Boże Ciało, Michał A, Mikołaj Bp",85
