id,schematism,filename,latin,polish
257,chelmno_1904,0083.jpg,mur.,mr
308,chelmno_1904,0194.jpg,mur.,mr
309,chelmno_1904,0196.jpg,lign.,dr
318,chelmno_1904,0220.jpg,lign.,dr
319,chelmno_1904,0222.jpg,lign.,dr
320,chelmno_1904,0223.jpg,lign.,dr
334,chelmno_1904,0265.jpg,dr,dr
335,chelmno_1904,0267.jpg,null,dr
336,chelmno_1904,0268.jpg,mur.,mr
337,chelmno_1904,0270.jpg,mur.,mr
338,chelmno_1904,0271.jpg,mur.,mr
339,chelmno_1904,0272.jpg,masywny,masywny
343,chelmno_1904,0279.jpg,mur.,mr
344,chelmno_1904,0282.jpg,mur.,mr
347,chelmno_1904,0294.jpg,mur.,mr
350,chelmno_1904,0298.jpg,dr,dr
352,chelmno_1904,0304.jpg,mur.,dr
358,chelmno_1904,0318.jpg,mur.,mr
359,chelmno_1904,0320.jpg,holz,dr
360,chelmno_1904,0323.jpg,lign.,dr
361,chelmno_1904,0325.jpg,dr-mr,dr-mr
367,chelmno_1904,0340.jpg,dr-mr,dr-mr
368,chelmno_1904,0344.jpg,mur.,mr
370,chelmno_1904,0348.jpg,lign.,dr
371,chelmno_1904,0350.jpg,dr,dr
372,chelmno_1904,0352.jpg,lign.,dr
378,chelmno_1904,0368.jpg,dr-mr,dr-mr
379,chelmno_1904,0370.jpg,dr,dr
381,chelmno_1904,0377.jpg,massive,masywny
382,chelmno_1904,0379.jpg,mur.,mr
383,chelmno_1904,0382.jpg,dr,dr
385,chelmno_1904,0391.jpg,mur.,mr
387,chelmno_1904,0401.jpg,masywny,masywny
388,chelmno_1904,0404.jpg,masywny,masywny
390,chelmno_1904,0411.jpg,dr,dr
391,chelmno_1904,0413.jpg,mur.,mr
393,chelmno_1904,0420.jpg,masywny,masywny
395,chelmno_1904,0427.jpg,masywny,masywny
398,chelmno_1904,0433.jpg,mur.,masywny
405,chelmno_1904,0448.jpg,mur.,mr
406,chelmno_1904,0449.jpg,mur.,mr
407,chelmno_1904,0456.jpg,masywny,masywny
408,chelmno_1904,0459.jpg,lign.,dr
409,chelmno_1904,0461.jpg,lign.,dr
410,chelmno_1904,0463.jpg,lign.,dr
411,chelmno_1904,0465.jpg,mur.,mr
412,chelmno_1904,0468.jpg,massiv,masywny
413,chelmno_1904,0471.jpg,lign.,dr
419,chelmno_1904,0493.jpg,mur.,mr
421,chelmno_1904,0498.jpg,masywny,masywny
422,chelmno_1904,0502.jpg,dr,dr
427,chelmno_1904,0514.jpg,mur.,mr
428,chelmno_1904,0520.jpg,mur.,masywny
429,chelmno_1904,0521.jpg,mur.,mr
430,chelmno_1904,0525.jpg,masywny,masywny
432,chelmno_1904,0529.jpg,masywny,masywny
434,chelmno_1904,0542.jpg,null,masywny
435,chelmno_1904,0548.jpg,masywny,masywny
438,chelmno_1904,0555.jpg,mur.,mr
439,chelmno_1904,0557.jpg,lign.,dr
440,chelmno_1904,0561.jpg,null,masywny
443,chelmno_1904,0571.jpg,mur.,mr
445,chelmno_1904,0575.jpg,dr,dr
449,chelmno_1904,0586.jpg,mr,mr
450,chelmno_1904,0588.jpg,mur.,mr
451,chelmno_1904,0590.jpg,masywny,masywny
453,chelmno_1904,0597.jpg,massive,masywny
455,chelmno_1904,0600.jpg,mur.,mr
460,chelmno_1904,0623.jpg,mr,mr
461,chelmno_1904,0626.jpg,mur.,mr
467,chelmno_1904,0638.jpg,masywny,masywny
469,chelmno_1904,0644.jpg,lign.,dr
470,chelmno_1904,0645.jpg,dr,dr
471,chelmno_1904,0649.jpg,masywny,masywny
899,czestochowa_1937,0033.jpg,mur.,mr
900,czestochowa_1937,0034.jpg,mur.,mr
904,czestochowa_1937,0035.jpg,mur.,mr
905,czestochowa_1937,0035.jpg,mur.,mr
907,czestochowa_1937,0036.jpg,mur.,mr
908,czestochowa_1937,0037.jpg,lign.,dr
909,czestochowa_1937,0038.jpg,mur.,mr
910,czestochowa_1937,0038.jpg,mur.,mr
911,czestochowa_1937,0038.jpg,mur.,mr
912,czestochowa_1937,0038.jpg,mur.,mr
913,czestochowa_1937,0039.jpg,mur.,mr
914,czestochowa_1937,0039.jpg,mur.,mr
915,czestochowa_1937,0040.jpg,mur.,mr
916,czestochowa_1937,0040.jpg,mur.,mr
917,czestochowa_1937,0040.jpg,mur.,mr
918,czestochowa_1937,0041.jpg,lign.,dr
919,czestochowa_1937,0041.jpg,mur.,mr
920,czestochowa_1937,0041.jpg,dr,dr
921,czestochowa_1937,0041.jpg,mr,mr
922,czestochowa_1937,0041.jpg,dr,dr
923,czestochowa_1937,0041.jpg,mr,mr
924,czestochowa_1937,0041.jpg,dr,mr
925,czestochowa_1937,0041.jpg,mr,mr
926,czestochowa_1937,0041.jpg,mr,mr
928,czestochowa_1937,0042.jpg,mur.,mr
929,czestochowa_1937,0042.jpg,mur.,mr
932,czestochowa_1937,0043.jpg,lap.,mr
933,czestochowa_1937,0043.jpg,mur.,mr
934,czestochowa_1937,0044.jpg,mur.,mr
936,czestochowa_1937,0045.jpg,mur.,mr
937,czestochowa_1937,0045.jpg,mur.,mr
938,czestochowa_1937,0046.jpg,mur.,mr
939,czestochowa_1937,0047.jpg,mur.,mr
940,czestochowa_1937,0047.jpg,lap.,mr
941,czestochowa_1937,0048.jpg,mur.,mr
942,czestochowa_1937,0048.jpg,lign.,dr
943,czestochowa_1937,0048.jpg,mur.,mr
944,czestochowa_1937,0048.jpg,lign.,dr
945,czestochowa_1937,0049.jpg,mur.,mr
946,czestochowa_1937,0049.jpg,mur.,mr
947,czestochowa_1937,0049.jpg,mur.,mr
948,czestochowa_1937,0050.jpg,lign.,dr
949,czestochowa_1937,0050.jpg,mur.,mr
950,czestochowa_1937,0050.jpg,mur.,mr
951,czestochowa_1937,0050.jpg,mur.,mr
952,czestochowa_1937,0051.jpg,mur.,mr
953,czestochowa_1937,0051.jpg,lign.,dr
954,czestochowa_1937,0051.jpg,lign.,dr
956,czestochowa_1937,0051.jpg,mur.,mr
957,czestochowa_1937,0052.jpg,mur.,mr
958,czestochowa_1937,0052.jpg,lign.,dr
959,czestochowa_1937,0053.jpg,mur.,mr
960,czestochowa_1937,0053.jpg,lign.,dr
961,czestochowa_1937,0053.jpg,lign.,dr
962,czestochowa_1937,0054.jpg,mur.,mr
963,czestochowa_1937,0054.jpg,mur.,mr
965,czestochowa_1937,0055.jpg,mur.,mr
966,czestochowa_1937,0055.jpg,mur.,mr
967,czestochowa_1937,0055.jpg,lign.,dr
968,czestochowa_1937,0056.jpg,mur.,mr
969,czestochowa_1937,0056.jpg,lign.,dr
970,czestochowa_1937,0057.jpg,mur.,mr
973,czestochowa_1937,0058.jpg,lign.,dr
974,czestochowa_1937,0058.jpg,mur.,mr
975,czestochowa_1937,0059.jpg,mur.,mr
981,czestochowa_1937,0060.jpg,mur.,mr
982,czestochowa_1937,0060.jpg,mur.,mr
983,czestochowa_1937,0060.jpg,lap.,mr
984,czestochowa_1937,0061.jpg,mur.,mr
985,czestochowa_1937,0061.jpg,mur.,mr
986,czestochowa_1937,0061.jpg,mur.,mr
987,czestochowa_1937,0061.jpg,mur.,mr
988,czestochowa_1937,0062.jpg,mur.,mr
989,czestochowa_1937,0062.jpg,mur.,mr
992,czestochowa_1937,0063.jpg,lign.,dr
993,czestochowa_1937,0063.jpg,mur.,dr
995,czestochowa_1937,0064.jpg,mur.,mr
996,czestochowa_1937,0064.jpg,mur.,mr
997,czestochowa_1937,0065.jpg,mur.,mr
998,czestochowa_1937,0065.jpg,lign.,dr
999,czestochowa_1937,0065.jpg,mr,mr
1000,czestochowa_1937,0066.jpg,mur.,mr
1001,czestochowa_1937,0066.jpg,mur.,mr
1002,czestochowa_1937,0066.jpg,mur.,mr
1003,czestochowa_1937,0067.jpg,mur.,mr
1004,czestochowa_1937,0067.jpg,mur.,mr
1005,czestochowa_1937,0067.jpg,mur.,mr
1006,czestochowa_1937,0067.jpg,lign.,dr
1007,czestochowa_1937,0068.jpg,mur.,mr
1009,czestochowa_1937,0068.jpg,mur.,mr
1010,czestochowa_1937,0068.jpg,mur.,mr
1011,czestochowa_1937,0069.jpg,mur.,mr
1012,czestochowa_1937,0069.jpg,mur.,mr
1013,czestochowa_1937,0069.jpg,mur.,mr
1015,czestochowa_1937,0071.jpg,mur.,mr
1016,czestochowa_1937,0071.jpg,mur.,mr
1018,czestochowa_1937,0072.jpg,mur.,mr
1019,czestochowa_1937,0072.jpg,lign.,dr
1021,czestochowa_1937,0073.jpg,mur.,mr
1023,czestochowa_1937,0073.jpg,mur.,mr
1024,czestochowa_1937,0074.jpg,mur.,mr
1025,czestochowa_1937,0074.jpg,mur.,mr
1026,czestochowa_1937,0075.jpg,mur.,dr
1027,czestochowa_1937,0076.jpg,mur.,mr
1028,czestochowa_1937,0076.jpg,mur.,mr
1029,czestochowa_1937,0077.jpg,mur.,mr
1030,czestochowa_1937,0077.jpg,mur.,mr
1031,czestochowa_1937,0077.jpg,semi murata,mr
1032,czestochowa_1937,0078.jpg,mur.,mr
1033,czestochowa_1937,0078.jpg,lign.,dr
1034,czestochowa_1937,0078.jpg,mur.,mr
1035,czestochowa_1937,0078.jpg,lign.,dr
1036,czestochowa_1937,0079.jpg,mur.,mr
1037,czestochowa_1937,0079.jpg,mur.,mr
1038,czestochowa_1937,0080.jpg,mur,mr
1039,czestochowa_1937,0080.jpg,mur.,mr
1041,czestochowa_1937,0080.jpg,mur,mr
1042,czestochowa_1937,0081.jpg,mur.,mr
1043,czestochowa_1937,0081.jpg,mur.,mr
1044,czestochowa_1937,0081.jpg,mur.,mr
1047,czestochowa_1937,0082.jpg,lign.,dr
1051,czestochowa_1937,0083.jpg,mur.,mr
1052,czestochowa_1937,0083.jpg,mur.,mr
1053,czestochowa_1937,0083.jpg,mur.,mr
1055,czestochowa_1937,0084.jpg,mur.,mr
1060,czestochowa_1937,0084.jpg,mur.,mr
1062,czestochowa_1937,0085.jpg,mur.,mr
1063,czestochowa_1937,0085.jpg,lign.,dr
1064,czestochowa_1937,0085.jpg,mur.,mr
1065,czestochowa_1937,0086.jpg,mur.,mr
1066,czestochowa_1937,0086.jpg,lign.,dr
1067,czestochowa_1937,0086.jpg,mur.,mr
1069,czestochowa_1937,0087.jpg,mur.,mr
1071,czestochowa_1937,0087.jpg,mur.,mr
1075,czestochowa_1937,0088.jpg,lign.,dr
1076,czestochowa_1937,0088.jpg,lign.,dr
1079,czestochowa_1937,0089.jpg,lig.,dr
1081,czestochowa_1937,0089.jpg,mur,mr
1083,czestochowa_1937,0090.jpg,mur.,mr
1084,czestochowa_1937,0090.jpg,mur.,mr
1085,czestochowa_1937,0091.jpg,mur.,mr
1086,czestochowa_1937,0091.jpg,mur.,mr
1087,czestochowa_1937,0091.jpg,dr,dr
1089,czestochowa_1937,0092.jpg,mur.,mr
1091,czestochowa_1937,0093.jpg,lign.,dr
1092,czestochowa_1937,0093.jpg,mur.,mr
1093,czestochowa_1937,0094.jpg,lign.,dr
1094,czestochowa_1937,0094.jpg,mur.,dr
1095,czestochowa_1937,0094.jpg,mur.,mr
1096,czestochowa_1937,0094.jpg,mur.,mr
1097,czestochowa_1937,0095.jpg,lign.,dr
1098,czestochowa_1937,0095.jpg,mur.,mr
1102,czestochowa_1937,0096.jpg,mur.,mr
1106,czestochowa_1937,0097.jpg,mur.,mr
1107,czestochowa_1937,0097.jpg,mur.,mr
1108,czestochowa_1937,0097.jpg,mur.,mr
1109,czestochowa_1937,0097.jpg,mur.,mr
1110,czestochowa_1937,0097.jpg,mur.,mr
1111,czestochowa_1937,0097.jpg,mur.,mr
1113,czestochowa_1937,0098.jpg,mur.,mr
1114,czestochowa_1937,0098.jpg,mur.,mr
1115,czestochowa_1937,0099.jpg,lign.,dr
1116,czestochowa_1937,0099.jpg,dr,dr
1117,czestochowa_1937,0099.jpg,dr,mr
1118,czestochowa_1937,0099.jpg,mr,mr
1119,czestochowa_1937,0099.jpg,mr,mr
1122,czestochowa_1937,0099.jpg,mr,mr
1123,czestochowa_1937,0100.jpg,mur.,mr
1124,czestochowa_1937,0100.jpg,dr,dr
1125,czestochowa_1937,0100.jpg,mur.,mr
1127,czestochowa_1937,0101.jpg,mur.,dr
1128,czestochowa_1937,0101.jpg,mur.,mr
1129,czestochowa_1937,0101.jpg,mur.,mr
1130,czestochowa_1937,0101.jpg,lign.,dr
1131,czestochowa_1937,0101.jpg,mur.,dr
1132,czestochowa_1937,0102.jpg,mur.,mr
1133,czestochowa_1937,0102.jpg,mur.,mr
1134,czestochowa_1937,0102.jpg,lign.,dr
1135,czestochowa_1937,0102.jpg,mur.,mr
1136,czestochowa_1937,0102.jpg,lign.,dr
1137,czestochowa_1937,0103.jpg,mur.,mr
1138,czestochowa_1937,0103.jpg,mur.,mr
1141,czestochowa_1937,0104.jpg,mur.,mr
1142,czestochowa_1937,0104.jpg,lign.,dr
1143,czestochowa_1937,0104.jpg,mur.,mr
1144,czestochowa_1937,0104.jpg,lign.,dr
1145,czestochowa_1937,0105.jpg,mur.,mr
1146,czestochowa_1937,0105.jpg,mur.,mr
1147,czestochowa_1937,0106.jpg,mur.,mr
1150,czestochowa_1937,0107.jpg,lign.,dr
1151,czestochowa_1937,0107.jpg,lign.,dr
1152,czestochowa_1937,0108.jpg,mur.,mr
1154,czestochowa_1937,0109.jpg,lign.,dr
1155,czestochowa_1937,0109.jpg,lign.,dr
1156,czestochowa_1937,0110.jpg,lign.,dr
1157,czestochowa_1937,0110.jpg,lign.,dr
1158,czestochowa_1937,0110.jpg,mur.,mr
1159,czestochowa_1937,0110.jpg,lign.,dr
