id,schematism,filename,latin,polish
0,chelmno_1871,0011.jpg,Decanatus Fredecensis. ( Briesen.),Wąbrzeźno (Briesen)
1,chelmno_1871,0011.jpg,Decanatus Fredecensis. ( Briesen.),Wąbrzeźno (Briesen)
2,chelmno_1871,0011.jpg,Decanatus Fredecensis. ( Briesen.),Wąbrzeźno (Briesen)
3,chelmno_1871,0011.jpg,Decanatus Fredecensis. ( Briesen.),Wąbrzeźno (Briesen)
4,chelmno_1871,0011.jpg,Decanatus Fredecensis. ( Briesen.),Wąbrzeźno (Briesen)
5,chelmno_1871,0011.jpg, Decanatus Fredecensis. ( Briesen.),Kamień Krajeński (Camin)
15,chelmno_1871,0013.jpg,Decanatus Culmensis.,Kamień Krajeński (Camin)
16,chelmno_1871,0013.jpg,Decanatus Culmensis. (Culm.),Chełmno (Culm)
17,chelmno_1871,0013.jpg,Decanatus Culmensis. (Culm.),Chełmno (Culm)
18,chelmno_1871,0013.jpg,Decanatus Culmensis.,Chełmno (Culm)
19,chelmno_1871,0013.jpg,Decanatus Culmensis. (Culm.),Chełmno (Culm)
20,chelmno_1871,0013.jpg,Decanatus Culmensis.(Culm),Chełmno (Culm)
21,chelmno_1871,0013.jpg,Decanatus Culmensis. (Culm.),Chełmno (Culm)
22,chelmno_1871,0013.jpg,Decanatus Culmensis.(Culm),Chełmno (Culm)
23,chelmno_1871,0014.jpg,"Decanatus Culmsensis, (ulmsee.)",Chełmża (Culmsee)
24,chelmno_1871,0014.jpg,"Decanatus Culmsensis, (ulmsee.)",Chełmża (Culmsee)
25,chelmno_1871,0014.jpg,"Decanatus Culmsensis, (ulmsee.)",Chełmża (Culmsee)
26,chelmno_1871,0014.jpg,"Decanatus Culmsensis, (ulmsee.)",Chełmża (Culmsee)
27,chelmno_1871,0014.jpg,"Decanatus Culmsensis, (ulmsee.)",Chełmża (Culmsee)
28,chelmno_1871,0014.jpg,"Decanatus Culmsensis, (ulmsee.)",Chełmża (Culmsee)
29,chelmno_1871,0014.jpg,"Decanatus Culmsensis, (ulmsee.)",Chełmża (Culmsee)
30,chelmno_1871,0014.jpg,"Decanatus Culmsensis, (ulmsee.)",Chełmża (Culmsee)
31,chelmno_1871,0014.jpg,"Decanatus Culmsensis, (ulmsee.)",Chełmża (Culmsee)
32,chelmno_1871,0014.jpg,"Decanatus Culmsensis, (ulmsee.)",Chełmża (Culmsee)
33,chelmno_1871,0014.jpg,"Decanatus Culmsensis, (ulmsee.)",Chełmża (Culmsee)
34,chelmno_1871,0015.jpg,V. Decanatus Gedanensis. (Danzig.),Gdańsk (Danzig)
35,chelmno_1871,0015.jpg,V. Decanatus Gedanensis. (Danzig.),Gdańsk (Danzig)
36,chelmno_1871,0015.jpg,V. Decanatus Gedanensis. (Danzig.),Gdańsk (Danzig)
37,chelmno_1871,0015.jpg,V. Decanatus Gedanensis. (Danzig.),Gdańsk (Danzig)
38,chelmno_1871,0015.jpg,V. Decanatus Gedanensis. (Danzig.),Gdańsk (Danzig)
39,chelmno_1871,0016.jpg,Gdańsk (Danzig),Gdańsk (Danzig)
