id,schematism,filename,latin,polish
34,chelmno_1871,0015.jpg,Josephus,Józef
36,chelmno_1871,0015.jpg,St. Birgitta,Brygida
38,chelmno_1871,0015.jpg,St. Nicolaum,Mikołaj Biskup
214,chelmno_1871,0033.jpg,ad St. Joannem,Jan Apostoł
215,chelmno_1871,0033.jpg,ad St. Jacobum,Jakub Większy Apostoł
216,chelmno_1871,0033.jpg,ad St. Mariam,Najświętsza Maria Panna
232,chelmno_1904,0039.jpg,S. Georgii.,Jerzy Męczennik
234,chelmno_1904,0043.jpg,SS. Apostolorum Simonis et Judae.,Szymon i Juda Tadeusz Apostołowie
235,chelmno_1904,0045.jpg,ad s. Joannem Bapt.,Jan Chrzciciel
236,chelmno_1904,0047.jpg,Mar. Magdalenae.,Maria Magdalena
237,chelmno_1904,0047.jpg,St. Margaritae V. M.,Małgorzata Panna Męczennica
238,chelmno_1904,0048.jpg,St. Laurentii M.,Wawrzyniec Męczennik
239,chelmno_1904,0050.jpg,Smae Trinitatis.,Św. Trójca
240,chelmno_1904,0051.jpg,B. Mariae V. et SS. Apost. Petri et Pauli.,"Najświętsza Maryja Panna, Piotr i Paweł Apostołowie"
241,chelmno_1904,0056.jpg,Tit. Ecclesiae: S. Trinitatis.,Św. Trójca
242,chelmno_1904,0058.jpg,St. Nieolaus.,Mikołaj Biskup
243,chelmno_1904,0059.jpg,St. Laurentii M.,Wawrzyniec Męczennik
244,chelmno_1904,0060.jpg,Tit. Ecclesiae: ber Hf. Barbara.,Barbara Panna Męczennica
245,chelmno_1904,0061.jpg,S. Jacobi Ap.,Jakub Większy Apostoł
246,chelmno_1904,0063.jpg,Tit. Ecclesiae: S. Catharinae V. M.,Katarzyna Panna Męczennica
247,chelmno_1904,0064.jpg,SS. Simonis et Judae apostol.,Szymon i Juda Tadeusz Apostołowie
248,chelmno_1904,0066.jpg,Tit. Ecclesiae: St. Jacobi maj. Apost.,Jakub Większy Apostoł
249,chelmno_1904,0067.jpg,Tit. Ecclesiae: ber gl. Maria Magdalena.,Maria Magdalena
250,chelmno_1904,0069.jpg,des hl. Bartholomaeus.,Bartłomiej Apostoł
251,chelmno_1904,0072.jpg,Assumptionis B. M. V.,Najświętsza Maryja Panna Wniebowzięta
252,chelmno_1904,0077.jpg,S. Laurentii M.,Wawrzyniec Męczennik
253,chelmno_1904,0078.jpg,Inventionis et Exaltationis S. Crucis.,Znalezienie i Podwyższenie Krzyża Św.
254,chelmno_1904,0080.jpg,S. Martini E. C.,Marcin Biskup
255,chelmno_1904,0081.jpg,St. Nicolai.,Mikołaj Biskup
256,chelmno_1904,0082.jpg,Tit. Ecclesiae: St. Bartholomaei.,Bartłomiej Apostoł
257,chelmno_1904,0083.jpg,S. Mariae Magdalenae.,Maria Magdalena
258,chelmno_1904,0085.jpg,Tit. Ecclesiae: SS. Trinitatis.,Św. Trójca
259,chelmno_1904,0089.jpg,S. Nicolai Episc.,Mikołaj Biskup
260,chelmno_1904,0090.jpg,St. Catharinae V. Mart.,Katarzyna Panna Męczennica
261,chelmno_1904,0092.jpg,Nativitatis B. M. V.,Narodzenie Najświętszej Maryi Panny
262,chelmno_1904,0093.jpg,S. Catharinae M. V.,Katarzyna Panna Męczennica
263,chelmno_1904,0094.jpg,S. Nicolai.,Mikołaj Biskup
264,chelmno_1904,0096.jpg,Assumptionis B. M. V.,Najświętsza Maryja Panna Wniebowzięta
265,chelmno_1904,0097.jpg,S. Bartholomaei.,Bartłomiej Apostoł
266,chelmno_1904,0097.jpg,S. Mariae ad Nives.,Najświętsza Maria Panna Śnieżna
267,chelmno_1904,0099.jpg,SS. Catharinae et Margaritae V. V. et M. M.,"Katarzyna Panna Męczennica, Małgorzata Panna Męczennica"
268,chelmno_1904,0100.jpg,Tit. Ecclesiae: St. Adalberti Epp. M.,Wojciech Biskup Męczennik
269,chelmno_1904,0115.jpg,S. Nicolai Epp. Conf.,Mikołaj Biskup
270,chelmno_1904,0117.jpg,SS. Cordis Jesu.,Najświętsze Serce Jezusa
271,chelmno_1904,0118.jpg,St. Hedwigis.,Jadwiga Księżna
272,chelmno_1904,0119.jpg,St. Ignatii Conf.,Ignacy Loyola
273,chelmno_1904,0122.jpg,SS. Apost. Petri et Pauli.,Piotr i Paweł Apostołowie
274,chelmno_1904,0127.jpg,St. Adalberti.,Wojciech Biskup Męczennik
275,chelmno_1904,0128.jpg,Xaricujee.,Franciszek Ksawery
276,chelmno_1904,0130.jpg,"S. Materni Ep. et Conf. nach dem Ort benannt ijt, später S. Matthaei Ap. und Johann S. Valentini.",Walenty Biskup Męczennik
277,chelmno_1904,0131.jpg,St. Bartholomaei.,Bartłomiej Apostoł
278,chelmno_1904,0135.jpg,SS. Corporis Christi.,Boże Ciało
279,chelmno_1904,0138.jpg,SS. Simonis et Judae Apostol.,Szymon i Juda Tadeusz Apostołowie
280,chelmno_1904,0139.jpg,St. Nicolai Ep. C.,Mikołaj Biskup
281,chelmno_1904,0140.jpg,S. Andreae Apost.,Andrzej Apostoł
282,chelmno_1904,0142.jpg,B. Mariae V. Maris Stellae.,Najświętsza Maryja Panna Gwiazda Morza
283,chelmno_1904,0146.jpg,S. Crucis.,Św. Krzyż
284,chelmno_1904,0149.jpg,S. Joannis Nep.,Jan Nepomucen
285,chelmno_1904,0151.jpg,S. Andreae.,Andrzej Apostoł
286,chelmno_1904,0152.jpg,S. Joannis Bapt.,Jan Chrzciciel
287,chelmno_1904,0154.jpg,S. Jacobi maj.,Jakub Większy Apostoł
288,chelmno_1904,0155.jpg,SS. Trinitatis.,Św. Trójca
289,chelmno_1904,0157.jpg,S. Margaritae V. M.,Małgorzata Panna Męczennica
290,chelmno_1904,0159.jpg,S. Nicolai Ep.,Mikołaj Biskup
291,chelmno_1904,0160.jpg,S. Michaelis Arch.,Michał Archanioł
