id,schematism,filename,latin,polish
0,chelmno_1871,0011.jpg,Bahrendorf.,Bahrendorf
1,chelmno_1871,0011.jpg,Błendowo.,Błendowo
2,chelmno_1871,0011.jpg,Briesen.,Briesen
3,chelmno_1871,0011.jpg,Neudorf.,Neudorf
4,chelmno_1871,0011.jpg,Orzechowo.,Orzechowo
5,chelmno_1871,0011.jpg,Butzig,Butzig
6,chelmno_1871,0012.jpg,Camin.,Camin
7,chelmno_1871,0012.jpg,Flatow.,Flatow
8,chelmno_1871,0012.jpg,Glubezyn.,Glubczyn
9,chelmno_1871,0012.jpg,Krojanke.,Krojanke
10,chelmno_1871,0012.jpg,Radawnitz,Radawnitz
11,chelmno_1871,0012.jpg,Slawianowo.,Sławianowo
12,chelmno_1871,0012.jpg,Sypniewo.,Sypniewo
13,chelmno_1871,0012.jpg,Vandsburg,Vandsburg
14,chelmno_1871,0012.jpg,Zakrzewo.,Zakrzewo
15,chelmno_1871,0013.jpg,Zempelburg,Zempelburg
16,chelmno_1871,0013.jpg,Althausen,Althausen
17,chelmno_1871,0013.jpg,Schoeneich,Schoeneich
18,chelmno_1871,0013.jpg,Lissewo,Lissewo
19,chelmno_1871,0013.jpg,Kijewo,Kijewo
20,chelmno_1871,0013.jpg,Czyste- M.,Czyste-M.
21,chelmno_1871,0013.jpg,Sarnowo,Sarnowo
22,chelmno_1871,0013.jpg,Culm.,Culm
23,chelmno_1871,0014.jpg,Wielkałąka,Wielkałąka
24,chelmno_1871,0014.jpg,Nawra,Nawra
25,chelmno_1871,0014.jpg,Biskupitz,Biskupitz
26,chelmno_1871,0014.jpg,Grzybno,Grzybno
27,chelmno_1871,0014.jpg,Papau Episc.,Papau Episc.
28,chelmno_1871,0014.jpg,Culmsee,Culmsee
29,chelmno_1871,0014.jpg,Grzywna,Grzywna
30,chelmno_1871,0014.jpg,Dzwierzno,Dzwierzno
31,chelmno_1871,0014.jpg,Unisław,Unisław
32,chelmno_1871,0014.jpg,Kielbasin,Kielbasin
33,chelmno_1871,0014.jpg,Gronowo,Gronowo
34,chelmno_1871,0015.jpg,Gedanum,Gedanum
35,chelmno_1871,0015.jpg,St. Adalberti,St. Adalberti
36,chelmno_1871,0015.jpg,Gedanum,Gedanum
37,chelmno_1871,0015.jpg,Gedanum,Gedanum
38,chelmno_1871,0015.jpg,Gedanum,Gedanum
39,chelmno_1871,0016.jpg,Prangenau,Prangenau
40,chelmno_1871,0016.jpg,Schoenwalde,Schoenwalde
41,chelmno_1871,0016.jpg,Langenau,Langenau
42,chelmno_1871,0016.jpg,Neoportum (Neufahrwasser),Neoportum (Neufahrwasser)
43,chelmno_1871,0016.jpg,Wotzlaff,Wotzlaff
44,chelmno_1871,0016.jpg,Oliva,Oliva
45,chelmno_1871,0016.jpg,Koelln,Koelln
46,chelmno_1871,0016.jpg,Mariensee,Mariensee
47,chelmno_1871,0016.jpg,Meisterwalde,Meisterwalde
48,chelmno_1871,0016.jpg,Quaschin,Quaschin
49,chelmno_1871,0016.jpg,Seefeld,Seefeld
50,chelmno_1871,0016.jpg,Matern,Matern
51,chelmno_1871,0016.jpg,Schottland-Vet.,Schottland-Vet.
52,chelmno_1871,0017.jpg,Żuckau.,Żuckau
53,chelmno_1871,0017.jpg,Dirschau.,Dirschau
54,chelmno_1871,0017.jpg,Schoeneck.,Schoeneck
55,chelmno_1871,0017.jpg,Gemlitz.,Gemlitz
56,chelmno_1871,0017.jpg,"Kladau,",Kladau
57,chelmno_1871,0017.jpg,Niedamowo.,Niedamowo
58,chelmno_1871,0018.jpg,Wtelno,Wtelno
59,chelmno_1871,0018.jpg,Fordon,Fordon
60,chelmno_1871,0018.jpg,Subkau,Subkau
61,chelmno_1871,0018.jpg,Trampken,Trampken
62,chelmno_1871,0018.jpg,Wyschin,Wyschin
63,chelmno_1871,0018.jpg,Osielsk,Osielsk
64,chelmno_1871,0018.jpg,Byszewo,Byszewo
65,chelmno_1871,0018.jpg,Koronowo,Koronowo
66,chelmno_1871,0018.jpg,Dóbrez,Dóbrcz
67,chelmno_1871,0019.jpg,Wudzyn.,Wudzyn
68,chelmno_1871,0019.jpg,Żołendowo.,Żołendowo
69,chelmno_1871,0019.jpg,Chełmonie.,Chełmonie
70,chelmno_1871,0019.jpg,Gollub.,Gollub
71,chelmno_1871,0019.jpg,Wrock.,Wrock
72,chelmno_1871,0019.jpg,Górzno.,Górzno
73,chelmno_1871,0019.jpg,Grązaw.,Grązaw
74,chelmno_1871,0019.jpg,Jastrzembie.,Jastrzembie
75,chelmno_1871,0019.jpg,Radowisk- Mega.,Radowisk-Mega
76,chelmno_1871,0019.jpg,Kowalewo.,Kowalewo
77,chelmno_1871,0020.jpg,Szczuka,Szczuka
78,chelmno_1871,0020.jpg,Bernsdorf.,Bernsdorf
79,chelmno_1871,0020.jpg,Bütow,Bütow
80,chelmno_1871,0020.jpg,Lauenburg.,Lauenburg
81,chelmno_1871,0020.jpg,Boleszyn.,Boleszyn
82,chelmno_1871,0020.jpg,Lautenburg.,Lautenburg
83,chelmno_1871,0020.jpg,Mroczno.,Mroczno
84,chelmno_1871,0020.jpg,Roslasin.,Roslasin
85,chelmno_1871,0020.jpg,Radoszk.,Radoszk
86,chelmno_1871,0021.jpg,Graudenz.,Graudenz
87,chelmno_1871,0021.jpg,Lessen.,Lessen
88,chelmno_1871,0021.jpg,Mokrau.,Mokrau
89,chelmno_1871,0021.jpg,Roggenhausen.,Roggenhausen
90,chelmno_1871,0021.jpg,Schönbrück.,Schönbrück
91,chelmno_1871,0021.jpg,Schönwalde.,Schönwalde
92,chelmno_1871,0021.jpg,Schwenten.,Schwenten
93,chelmno_1871,0021.jpg,"Germ, Eylau.",Germ Eylau
94,chelmno_1871,0021.jpg,Grabau.,Grabau
95,chelmno_1871,0021.jpg,Grodziezno.,Grodziczno
96,chelmno_1871,0021.jpg,Kazanitz.,Kazanitz
97,chelmno_1871,0021.jpg,Loebau.,Loebau
98,chelmno_1871,0022.jpg,Rosenberg,Rosenberg
99,chelmno_1871,0022.jpg,Prontnica,Prontnica
100,chelmno_1871,0022.jpg,Johannisdorf,Johannisdorf
101,chelmno_1871,0022.jpg,Falkenau,Falkenau
102,chelmno_1871,0022.jpg,Rumian,Rumian
103,chelmno_1871,0022.jpg,Zwiniarz,Zwiniarz
104,chelmno_1871,0022.jpg,Rosenthal,Rosenthal
105,chelmno_1871,0022.jpg,Dzierzążno,Dzierzążno
106,chelmno_1871,0022.jpg,Sampława,Sampława
107,chelmno_1871,0022.jpg,Gartz-Mega,Gartz-Mega
108,chelmno_1871,0023.jpg,Liebenau.,Liebenau
109,chelmno_1871,0023.jpg,Mewe.,Mewe
110,chelmno_1871,0023.jpg,Neukirch.,Neukirch
111,chelmno_1871,0023.jpg,Pehsken.,Pehsken
112,chelmno_1871,0023.jpg,Pelplin.,Pelplin
113,chelmno_1871,0023.jpg,Raikau.,Raikau
114,chelmno_1871,0023.jpg,Berent.,Berent
115,chelmno_1871,0023.jpg,Carthaus.,Carthaus
116,chelmno_1871,0024.jpg,Chmielno.,Chmielno
117,chelmno_1871,0024.jpg,Gorrenczyn,Gorrenczyn
118,chelmno_1871,0024.jpg,Gowidlino.,Gowidlino
119,chelmno_1871,0024.jpg,Grabau-Vet.,Grabau-Vet
120,chelmno_1871,0024.jpg,Lippusch.,Lippusch
121,chelmno_1871,0024.jpg,Lusino.,Lusino
122,chelmno_1871,0024.jpg,Parchau.,Parchau
123,chelmno_1871,0024.jpg,Sianowo.,Sianowo
124,chelmno_1871,0024.jpg,Sierako witz.,Sierakowitz
125,chelmno_1871,0024.jpg,Stendzitz.,Stendzitz
126,chelmno_1871,0024.jpg,Strzepcz.,Strzepcz
127,chelmno_1871,0025.jpg,Sullenczyn,Sullenczyn
128,chelmno_1871,0025.jpg,Barłożno,Barłożno
129,chelmno_1871,0025.jpg,Jahn,Jahn
130,chelmno_1871,0025.jpg,Komorsk-Mega,Komorsk-Mega
131,chelmno_1871,0025.jpg,Lalkau,Lalkau
132,chelmno_1871,0025.jpg,Lubin-Sibsau,Lubin-Sibsau
133,chelmno_1871,0025.jpg,Neuenburg,Neuenburg
134,chelmno_1871,0025.jpg,Osiek,Osiek
135,chelmno_1871,0025.jpg,Pieniążkowo,Pieniążkowo
136,chelmno_1871,0025.jpg,Płochocin,Płochocin
137,chelmno_1871,0026.jpg,Tyllitz,Tyllitz
138,chelmno_1871,0026.jpg,Brzozie-Germ.,Brzozie-Germ
139,chelmno_1871,0026.jpg,Radomno,Radomno
140,chelmno_1871,0026.jpg,Skarlin,Skarlin
141,chelmno_1871,0026.jpg,Kauernik,Kauernik
142,chelmno_1871,0026.jpg,Neumark,Neumark
143,chelmno_1871,0026.jpg,Lippinken,Lippinken
